mid,Alaska,Western Canada and US,Arctic Canada North,Arctic Canada South,Greenland Peripher,Iceland,Svalbard,Scandinavia ,Russian Arctic,North Asia,Central Europe  ,Caucasus and Middle East,Central Asia,South Asia West    ,South Asia East,Low Latitudes,Southern Andes,New Zealand,Antarctic and Subantarctic
25,122.5,        ,986.6,15.4,801.6,0.3,108.2,        ,1276.5,0.1,        ,        ,        ,        ,        ,        ,63.2,        ,10588.4
75,348,        ,822.7,26.7,902.7,5.5,637.2,0,2152.4,0,        ,        ,        ,        ,        ,        ,56.6,        ,9449.2
125,514.3,        ,991.1,63.4,855.5,20.5,1247.1,0,2740.7,0,        ,        ,        ,        ,        ,        ,74.1,        ,7895.6
175,539.6,1.4,1139.5,112.8,966.9,33.9,1904.5,0.1,3213.9,0.1,        ,        ,        ,        ,        ,        ,121.8,        ,7701.6
225,592.6,0.9,1287.8,151.9,1087.1,43.1,2332.6,0.1,3461.8,0.2,        ,        ,        ,        ,        ,        ,152,        ,9648.7
275,737.3,1.4,1501.8,209.9,1324.1,54.5,2563.6,0.2,3607.4,0.3,        ,        ,        ,        ,        ,        ,173,        ,12753.7
325,885.5,0.9,1728,265.2,1524,63.7,2820.7,0.3,3571.6,0.8,        ,        ,        ,        ,        ,        ,190.7,0,11770.1
375,938.2,1.5,1986.7,323.7,1784,60.3,2915.4,0.4,3498.5,1.7,        ,        ,        ,        ,        ,        ,230.1,0,8734.2
425,847.1,2.2,2158.4,440.7,1992.5,55.6,2949.3,0.6,3176.7,2.8,        ,        ,        ,        ,        ,        ,266.5,0.1,5932.7
475,844.5,3.6,2315.8,602.3,2280.1,57.2,2876,1.2,3145.2,6,        ,        ,        ,        ,        ,        ,345.3,0.2,5160.1
525,811.2,3.4,2690.8,804.6,2671.1,62.6,2803.7,2.5,3232.8,6.8,        ,        ,        ,        ,0.2,        ,429,0.2,4666.8
575,845.4,3.8,3171.8,998.9,2749.4,71.6,2255.5,4.5,3394.3,9.1,        ,        ,        ,        ,0.9,        ,511.7,0.1,2840.3
625,856.8,4.5,3574.3,1285.3,2837.6,111.4,1848.3,6.3,3139.5,9.5,        ,        ,        ,        ,0.5,        ,573.7,0.3,2615.9
675,961.6,4.8,3592.1,1590.5,3023.6,149.4,1512.9,10.6,3110.2,12.3,        ,        ,        ,        ,0.2,        ,632,0.5,2955.6
725,1113,6,3566,1981.6,3092.6,183.5,1194.1,15.4,2938.3,16,        ,        ,        ,        ,0.2,        ,686.4,1.5,3134.7
775,1165.5,6.6,3554.1,2265.6,3326.9,210.9,744.1,21.5,2333.8,21.2,        ,        ,        ,        ,0.2,        ,712,3.7,1938.6
825,1332.5,7.9,3695.4,2547.7,3572.2,268,605.6,28.6,1700.8,25.3,        ,        ,        ,        ,0.1,        ,736.8,6.6,1717.9
875,1415.5,10.1,3913.4,2671.5,3840.3,320.4,558.8,37.6,1284.2,25.3,        ,        ,        ,        ,0.1,        ,713.9,5.4,2153.7
925,1517.9,14.4,4151.4,2723.2,3974.8,384.1,466.9,51.4,384.2,23.2,        ,        ,        ,        ,0,        ,686.7,5.4,1922.6
975,1688.6,20.3,4423.7,2640,3868.5,468.1,399.7,69.2,55.2,22.6,        ,        ,        ,        ,0,        ,727.5,5.6,1786.5
1025,1848.1,23,4583,2614.2,3862.5,508,325.5,87.1,14.6,23.3,        ,        ,        ,        ,0,        ,724.2,7.8,1227.1
1075,2025.4,31.5,4494.2,2555.9,3773.8,567.6,287.8,110.7,6,22.7,        ,        ,        ,        ,0,        ,772.9,9.7,754.5
1125,2231.3,39.9,4495.4,2054.4,3523,606,230,139,2.6,22.8,        ,        ,        ,        ,0,        ,835.1,11.9,621.5
1175,2354.2,48.6,4514.4,1844.9,3248,626.2,148.1,160.9,0.5,23.3,        ,        ,        ,        ,        ,        ,855,12.5,524.1
1225,2522.6,59,4470.9,1743.7,3013.5,674.5,92.3,157.1,0.3,28.9,        ,        ,        ,        ,        ,        ,995.5,11.6,539.1
1275,2591.1,72.6,4246,1545.6,2644.2,733,54.7,162.8,0.1,32.2,        ,        ,        ,        ,        ,        ,1058.9,13.8,529.7
1325,2659.4,92.5,3847.2,1341.4,1919.3,708.4,32.9,162,        ,38.1,0,        ,        ,        ,        ,        ,1115.1,17.2,432.4
1375,2752,118.4,3553.7,1146.1,1773,699.8,14.5,168.2,        ,44.5,0,        ,        ,        ,        ,        ,1170.2,16.7,362
1425,2765.4,146,3243.1,891.3,1709.4,683,8.4,164.7,        ,45.7,0.1,        ,        ,        ,        ,        ,1152.6,18.2,326.2
1475,2760.2,184,2856,735,1622.6,580.9,5.8,181.8,        ,44.1,0.4,        ,        ,        ,        ,        ,1103,21.2,334
1525,2793.9,221.6,2518.9,620.8,1607.8,622.3,3,203.7,        ,39.3,0.3,        ,        ,        ,        ,        ,1125.9,24.5,312
1575,2796.3,263.5,2274,466.6,1542.2,558.8,1.6,219,        ,38.4,0.4,        ,        ,        ,        ,        ,1026.7,28.7,249.2
1625,2727.9,312.7,2134.7,371.2,1605.3,453.8,1,192.4,        ,33.5,0.4,        ,        ,        ,        ,        ,944.7,35.7,225.8
1675,2677.8,370.2,1827.5,299.7,1485.6,139.6,0.9,150.9,        ,28.8,0.5,        ,        ,        ,        ,        ,835.7,42.8,216.4
1725,2626.1,421.3,1469.8,258.4,1321.4,85.3,0.7,119.2,        ,24.1,0.8,        ,        ,        ,        ,0,753.6,51.3,220.3
1775,2609.9,474.9,1201.8,272.7,1187.4,63.2,0.7,100.5,        ,20.6,1.1,0,        ,        ,        ,0,686,59.9,219
1825,2484.7,519.4,949.2,232.1,1108.2,44.6,0.5,76.8,        ,18.4,1.5,0,        ,        ,        ,        ,629.1,65.5,178.2
1875,2220,570.4,553.2,84.7,1083,33.8,0.5,57.5,        ,17.7,1.7,0,        ,        ,        ,0,562.5,72,151.7
1925,2048.2,608.3,269.8,18.6,1054.7,25.9,0.8,27.9,        ,16.6,1.9,0.1,        ,        ,        ,        ,483.2,74.7,139.6
1975,1811.5,650.5,167.2,13.9,953.5,14.6,0.6,18.9,        ,16.2,2.1,0.2,        ,        ,        ,        ,397.5,73.2,143.6
2025,1637.9,705.1,64.4,7.6,762.1,5.3,0.5,13.8,        ,18.3,2.8,0.3,        ,        ,        ,        ,338.8,69.1,146
2075,1443.8,734.7,28.5,4.3,608.4,0,0.4,11,        ,18.5,3.7,0.4,        ,        ,        ,        ,284.5,64.3,116.5
2125,1294.3,754.9,19.1,0.9,476,        ,0.3,6.6,        ,19.5,5.7,0.5,        ,        ,        ,        ,223.6,61.3,96.7
2175,1186.7,758.4,14.4,        ,386.8,        ,0.3,3.4,        ,22.2,7.2,0.6,        ,        ,        ,        ,172.4,51.4,78.2
2225,1113.8,745.5,9.3,        ,314.3,        ,0.1,1.6,        ,24.3,8.4,0.8,        ,        ,        ,0,140.9,44.1,78.9
2275,1063.3,713.8,6.1,        ,203,        ,        ,0.8,        ,27.2,10.9,1.2,        ,        ,        ,        ,118.3,38.7,77.8
2325,1035.2,663.4,2.5,        ,112.1,        ,        ,0.2,        ,30.1,13.3,1.9,        ,0.1,        ,        ,96.1,30.5,60.7
2375,968,614.1,0.4,        ,62.1,        ,        ,0,        ,32.3,17.6,3,        ,0.1,        ,        ,85,23.9,46.7
2425,869.6,551.8,        ,        ,56.7,        ,        ,0,        ,31.4,22.5,4,        ,0.2,        ,0,77.7,17.5,45.3
2475,812.5,487.4,        ,        ,77.8,        ,        ,        ,        ,30.5,28.5,5.2,0,0.6,0.6,        ,64.4,13.6,39.3
2525,770.9,433.9,        ,        ,73.3,        ,        ,        ,        ,28.8,34,6.4,0.2,0.6,0.2,0,55.3,10.8,37.4
2575,730.8,385.6,        ,        ,24.3,        ,        ,        ,        ,28.4,43.7,8.1,0.1,0.9,0.2,        ,52.7,8.9,29.3
2625,666.6,327.2,        ,        ,7,        ,        ,        ,        ,30.6,54.8,9.9,0.3,1.5,0.2,        ,47.5,6.8,22.3
2675,605.2,273.6,        ,        ,1.9,        ,        ,        ,        ,33.4,67.3,11.8,0.8,2.6,0.4,        ,39.2,4.7,18.7
2725,527.1,220.3,        ,        ,0.2,        ,        ,        ,        ,29.9,82.7,14.9,1.8,2.6,0.4,0,36.5,3.7,19.4
2775,474.4,173.8,        ,        ,0.1,        ,        ,        ,        ,32.8,95.9,18.1,2.4,3.3,0.4,0,29.6,3,21.5
2825,418.8,134.4,        ,        ,0,        ,        ,        ,        ,38.1,103.9,20.3,3.5,4.4,0.4,        ,25.3,2.2,11
2875,382.7,99.7,        ,        ,0.1,        ,        ,        ,        ,42.3,116.3,25.3,4.8,6.6,0.6,0,22.1,1.8,5.7
2925,340,74.2,        ,        ,0.1,        ,        ,        ,        ,50.9,125.1,28.2,8.9,8,0.5,0,19.7,1.5,4.5
2975,302,54.4,        ,        ,0,        ,        ,        ,        ,60.5,131.9,32,12.3,8.8,0.9,0,19.1,1.2,4.4
3025,263.8,42,        ,        ,0,        ,        ,        ,        ,65,135.8,37.1,16.5,10.7,0.6,0.1,17,0.9,1.5
3075,233.1,31,        ,        ,0,        ,        ,        ,        ,67.5,134.3,40.5,21.7,12.4,0.6,0.1,16.5,0.7,0.9
3125,207.1,24.6,        ,        ,0,        ,        ,        ,        ,67.9,127.4,44.2,27,15.3,0.8,0.1,16.3,0.5,0.6
3175,185.6,22.2,        ,        ,0,        ,        ,        ,        ,65.9,116.6,46.7,36.2,16.6,0.8,0.1,16,0.4,0.7
3225,168,18.6,        ,        ,        ,        ,        ,        ,        ,63.6,102.5,50.4,44.8,18.5,1.1,0.2,16.9,0.4,0.5
3275,147.5,15.9,        ,        ,        ,        ,        ,        ,        ,63.4,87.6,53,59.3,20.7,1.3,0.2,18.8,0.3,0.2
3325,134.9,13.2,        ,        ,        ,        ,        ,        ,        ,60.2,74.8,55,80.7,25.4,2.1,0.3,20.5,0.2,0.2
3375,124.7,13,        ,        ,        ,        ,        ,        ,        ,56,61.6,51.3,107.4,27,2.1,0.4,21.8,0.2,0.4
3425,114,12.4,        ,        ,        ,        ,        ,        ,        ,54.3,49.3,49.3,142.5,30.2,2.5,0.4,25.9,0.2,0.5
3475,102.2,11.2,        ,        ,        ,        ,        ,        ,        ,49.7,41.9,48.4,181.1,34.1,3.8,0.4,27.5,0.1,0.3
3525,91.2,11,        ,        ,        ,        ,        ,        ,        ,45.7,35.3,47.9,227.2,40.8,4.7,0.4,29.2,0,0.1
3575,83.8,11.6,        ,        ,        ,        ,        ,        ,        ,43.5,27.8,45.2,278.7,45.8,6.1,0.4,33,0.1,0
3625,76.1,12.2,        ,        ,        ,        ,        ,        ,        ,42.4,21.5,42.9,346.1,53.6,7.4,0.4,35.2,0.1,0
3675,68.9,11.7,        ,        ,        ,        ,        ,        ,        ,38.6,17.1,41.1,418.1,61.4,8.3,0.4,39,0,        
3725,60.2,10.8,        ,        ,        ,        ,        ,        ,        ,34.3,13.6,36.9,499,74.6,9.2,0.4,37.4,        ,        
3775,55.7,9,        ,        ,        ,        ,        ,        ,        ,29.8,11.5,35.2,580.2,83.4,12,0.4,37.6,        ,        
3825,56.3,7.3,        ,        ,        ,        ,        ,        ,        ,22.9,9.1,29.4,647.4,92.1,13.8,0.4,36,        ,        
3875,49.5,5.4,        ,        ,        ,        ,        ,        ,        ,19.2,6.1,27.4,717.8,100,17.4,0.5,36.1,        ,        
3925,43.6,3.8,        ,        ,        ,        ,        ,        ,        ,13.8,5,23.7,771.5,112.4,22.4,0.8,38.3,        ,        
3975,40.5,3.1,        ,        ,        ,        ,        ,        ,        ,10,4.3,20.6,817.4,131,25,0.9,37.6,        ,        
4025,38.7,1.6,        ,        ,        ,        ,        ,        ,        ,7.6,4,16.4,854.4,145.2,31.8,0.8,37.6,        ,        
4075,38.4,1,        ,        ,        ,        ,        ,        ,        ,4.5,3.6,13.3,884.5,163.4,32.4,0.8,39.5,        ,        
4125,27.5,0.9,        ,        ,        ,        ,        ,        ,        ,2.7,2.8,11.9,902.5,190.3,38.1,0.8,36.1,        ,        
4175,27.3,0.7,        ,        ,        ,        ,        ,        ,        ,1.9,2.2,11.1,894.7,216.7,45.7,1,36.5,        ,        
4225,22.3,0.5,        ,        ,        ,        ,        ,        ,        ,0.8,1.9,9.4,896.2,249.8,58.2,1.7,36.3,        ,        
4275,20.4,0.4,        ,        ,        ,        ,        ,        ,        ,0.7,1.6,7.9,877.5,275.9,67,2.8,36.5,        ,        
4325,19.5,0.2,        ,        ,        ,        ,        ,        ,        ,0.5,1.2,6.8,839.7,308.1,77.8,4.6,38.9,        ,        
4375,18,0.1,        ,        ,        ,        ,        ,        ,        ,0.2,0.9,6.5,802.5,340.1,90.4,5.5,41.2,        ,        
4425,17.1,        ,        ,        ,        ,        ,        ,        ,        ,0,0.9,5.5,771.5,381.6,103.8,7,44.4,        ,        
4475,15.7,        ,        ,        ,        ,        ,        ,        ,        ,0,0.7,4.9,726.4,432.9,124.6,8.8,46.4,        ,        
4525,12.6,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.4,4.4,692.6,466.1,145.5,11.5,50.3,        ,        
4575,12.1,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.3,4.1,665,514.5,162.8,16.9,51.8,        ,        
4625,10.7,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.3,3.5,655.8,560.6,193.8,24.5,52.4,        ,        
4675,9.7,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.3,3.2,643.2,607.2,221.9,33.9,54.4,        ,        
4725,8.2,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,2.9,657.6,658.4,246.3,47.7,53.5,        ,        
4775,7.1,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,2.6,681.1,711.3,276.6,63,54,        ,        
4825,7.2,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,2.2,720.6,751.3,304,81.9,53.1,        ,        
4875,6.9,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,2.2,766.8,806.8,326.3,99.6,51.8,        ,        
4925,6.3,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.9,821.6,866.7,355.5,117.2,52.2,        ,        
4975,6.2,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.6,865.6,907.1,392.7,138.5,49.7,        ,        
5025,5.8,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.6,905.1,956.6,426.9,159.2,48.2,        ,        
5075,5.4,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.6,937.3,1000,466.3,169.9,46.6,        ,        
5125,5.1,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.1,963,1047.2,500.7,174.4,43.9,        ,        
5175,4.8,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.9,972.9,1080,539.8,171.2,43.4,        ,        
5225,4.9,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.8,990.9,1093.5,568.2,159.1,43.3,        ,        
5275,3.5,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.7,1019.2,1106.4,579.5,138.6,41,        ,        
5325,4.5,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.6,1050.6,1114.1,588,122.9,42.4,        ,        
5375,4.6,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.6,1078,1102.6,586.9,105,38,        ,        
5425,3.3,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.5,1096.1,1096.8,581.2,88,32.2,        ,        
5475,3.6,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.5,1095.8,1067.1,552.5,72.4,31.1,        ,        
5525,2.5,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.4,1074.7,1045.5,519.4,56.9,28.2,        ,        
5575,2.1,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.4,1077.9,1024,479.4,45.3,25.9,        ,        
5625,2.3,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0,1096.4,1005.8,444.7,33.3,25.9,        ,        
5675,2.4,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1126.3,989.7,416.9,28.2,24.3,        ,        
5725,2.1,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1197.9,966.9,392.9,24.9,23,        ,        
5775,0.6,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1246.6,936.7,370.5,21.2,22.6,        ,        
5825,0.6,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1305.7,889.3,349.8,17.4,21.1,        ,        
5875,0.4,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1318.9,828.9,323.7,15.4,19.6,        ,        
5925,0.4,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1296,747.1,298.9,13.2,15.9,        ,        
5975,0.3,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1229.5,653.5,275.7,12.5,13,        ,        
6025,0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1104.3,549,249,8.5,10.5,        ,        
6075,0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,968.1,464.1,222.4,7.4,8.3,        ,        
6125,0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,824.5,387.1,201.4,6.6,7.6,        ,        
6175,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,683,310.4,177,4.7,6.9,        ,        
6225,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,525.1,252.4,151.4,3.1,6.4,        ,        
6275,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,391.7,207.1,135.4,1.9,5.9,        ,        
6325,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,293.9,166.4,120.8,1.3,5.3,        ,        
6375,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,212.9,134.4,106,0.6,4.7,        ,        
6425,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,156.9,108.9,90.6,0.5,4.1,        ,        
6475,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,108.9,89.4,77.9,0.5,2.7,        ,        
6525,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,74,77,65.8,0.3,1.9,        ,        
6575,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,50.7,63.2,56,0.2,1.2,        ,        
6625,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,37,53.4,47.3,0.2,0.8,        ,        
6675,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,26.3,48.6,40.8,0,0.5,        ,        
6725,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,19.9,43.8,35.9,        ,0.2,        ,        
6775,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,16.1,36.7,31,        ,0.2,        ,        
6825,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,13.1,33.2,27.2,        ,0.1,        ,        
6875,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,10.4,29.9,23.5,        ,0,        ,        
6925,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,7.2,23.9,19.9,        ,0,        ,        
6975,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,5.7,21.2,17.3,        ,        ,        ,        
7025,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,4.7,19.6,15.9,        ,        ,        ,        
7075,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,3.9,16.1,15,        ,        ,        ,        
7125,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,2.6,14.9,14,        ,        ,        ,        
7175,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.9,14.4,12.8,        ,        ,        ,        
7225,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.4,10.2,11.5,        ,        ,        ,        
7275,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.2,9.4,10.2,        ,        ,        ,        
7325,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.1,5.8,7.8,        ,        ,        ,        
7375,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.1,4.8,6.6,        ,        ,        ,        
7425,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.6,4,6,        ,        ,        ,        
7475,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.6,3.7,5,        ,        ,        ,        
7525,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,3.2,4.2,        ,        ,        ,        
7575,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,3.4,3.4,        ,        ,        ,        
7625,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,2.8,3,        ,        ,        ,        
7675,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,2,2.8,        ,        ,        ,        
7725,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.8,2.4,        ,        ,        ,        
7775,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.4,2.4,        ,        ,        ,        
7825,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,1.7,        ,        ,        ,        
7875,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,1.2,        ,        ,        ,        
7925,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,1,        ,        ,        ,        
7975,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0,0.8,        ,        ,        ,        
8025,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,0.7,        ,        ,        ,        
8075,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.7,        ,        ,        ,        
8125,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.6,        ,        ,        ,        
8175,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.5,        ,        ,        ,        
8225,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,        ,        ,        ,        
8275,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,        ,        ,        ,        
8325,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8375,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8425,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8475,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8525,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8575,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8625,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
8675,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8725,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
8775,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8825,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
8875,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
8925,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
8975,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
